FightID,Fighter,Opponent,FighterAge,OpponentAge,Outcome,WeightClass,GenderBool,ChampBoutBool
114,Austen Lane,Jhonata Diniz,36,32,0,Heavyweight,False,False
115,David Onama,Jonathan Pearce,29,31,1,Featherweight,False,False
115,Jonathan Pearce,David Onama,31,29,0,Featherweight,False,False
116,Uros Medic,Tim Means,31,40,1,Welterweight,False,False
116,Tim Means,Uros Medic,40,31,0,Welterweight,False,False
117,Victor Henry,Rani Yahya,36,39,1,Bantamweight,False,False
117,Rani Yahya,Victor Henry,39,36,0,Bantamweight,False,False
118,Austin Hubbard,Michal Figlak,32,27,1,Lightweight,False,False
118,Michal Figlak,Austin Hubbard,27,32,0,Lightweight,False,False
119,Don'Tale Mayes,Caio Machado,32,29,1,Heavyweight,False,False
119,Caio Machado,Don'Tale Mayes,29,32,0,Heavyweight,False,False
120,Ketlen Souza,Marnic Mann,29,31,1,Women's Strawweight,True,False
120,Marnic Mann,Ketlen Souza,31,29,0,Women's Strawweight,True,False
121,Chris Padilla,James Llontop,28,24,1,Lightweight,False,False
121,James Llontop,Chris Padilla,24,28,0,Lightweight,False,False
122,Ivana Petrovic,Liang Na,29,27,1,Women's Flyweight,True,False
122,Liang Na,Ivana Petrovic,27,29,0,Women's Flyweight,True,False
123,Maheshate,Gabriel Benitez,24,35,1,Lightweight,False,False
123,Gabriel Benitez,Maheshate,35,24,0,Lightweight,False,False
124,Alex Pereira,Jamahal Hill,36,32,1,Light Heavyweight,False,True
124,Jamahal Hill,Alex Pereira,32,36,0,Light Heavyweight,False,True
125,Zhang Weili,Yan Xiaonan,34,34,1,Women's Strawweight,True,True
125,Yan Xiaonan,Zhang Weili,34,34,0,Women's Strawweight,True,True
126,Max Holloway,Justin Gaethje,32,35,1,Lightweight,False,False
126,Justin Gaethje,Max Holloway,35,32,0,Lightweight,False,False
127,Arman Tsarukyan,Charles Oliveira,27,34,1,Lightweight,False,False
127,Charles Oliveira,Arman Tsarukyan,34,27,0,Lightweight,False,False
128,Bo Nickal,Cody Brundage,28,29,1,Middleweight,False,False
128,Cody Brundage,Bo Nickal,29,28,0,Middleweight,False,False
129,Jiri Prochazka,Aleksandar Rakic,31,32,1,Light Heavyweight,False,False
129,Aleksandar Rakic,Jiri Prochazka,32,31,0,Light Heavyweight,False,False
130,Aljamain Sterling,Calvin Kattar,34,36,1,Featherweight,False,False
130,Calvin Kattar,Aljamain Sterling,36,34,0,Featherweight,False,False
131,Kayla Harrison,Holly Holm,33,42,1,Women's Bantamweight,True,False
131,Holly Holm,Kayla Harrison,42,33,0,Women's Bantamweight,True,False
132,Diego Lopes,Sodiq Yusuff,29,30,1,Featherweight,False,False
132,Sodiq Yusuff,Diego Lopes,30,29,0,Featherweight,False,False
133,Renato Moicano,Jalin Turner,34,28,1,Lightweight,False,False
133,Jalin Turner,Renato Moicano,28,34,0,Lightweight,False,False
134,Jessica Andrade,Marina Rodriguez,32,36,1,Women's Strawweight,True,False
134,Marina Rodriguez,Jessica Andrade,36,32,0,Women's Strawweight,True,False
135,Bobby Green,Jim Miller,37,40,1,Lightweight,False,False
135,Jim Miller,Bobby Green,40,37,0,Lightweight,False,False
136,Deiveson Figueiredo,Cody Garbrandt,36,32,1,Bantamweight,False,False
136,Cody Garbrandt,Deiveson Figueiredo,32,36,0,Bantamweight,False,False
137,Brendan Allen,Chris Curtis,28,36,1,Middleweight,False,False
137,Chris Curtis,Brendan Allen,36,28,0,Middleweight,False,False
138,Damon Jackson,Alexander Hernandez,35,31,1,Featherweight,False,False
138,Alexander Hernandez,Damon Jackson,31,35,0,Featherweight,False,False
139,Chepe Mariscal,Morgan Charriere,31,28,1,Featherweight,False,False
139,Morgan Charriere,Chepe Mariscal,28,31,0,Featherweight,False,False
140,Ignacio Bahamondes,Christos Giagos,26,34,1,Lightweight,False,False
140,Christos Giagos,Ignacio Bahamondes,34,26,0,Lightweight,False,False
